#========================================================================================================																																										
#	Gmacs	Main	Data	File	Version	1.1:	BBRKC	Example																																		
#	GEAR_INDEX	DESCRIPTION																																								
#	1	:	Pot	fishery	retained	catch.																																				
#	1	:	Pot	fishery	with	discarded	catch.																																			
#	2	:	Trawl	bycatch																																						
#	3	:	Trawl	survey																																						
#	Fisheries:	1	Pot	"Fishery,"	2	Trawl	"by-catch,"																																			
#	Surveys:	3	NMFS	Trawl	"Survey,"																																					
#========================================================================================================																																										
1976	# Start	year																																								
2018	# End	year																																								
3	# Number of seasons																																									
3	# Number of fleets (fishing fleets and surveys)																																									
1	# Number of sexes																																									
1	# Number of shell condition types																																									
1	# Number of maturity types																																									
35	# Number of size-classes in the	model																																								
3	# Season recruitment occurs																																									
3	# Season molting and growth occurs																																									
3	# Season to calculate SSB																																									
1	# Season for N output																																									
#	size_breaks (a	vector	giving	the	break	points	between	size	"intervals,"	dim=nclass+1)																																
35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180	185	190	195	200	205	210							
#	Natural	mortality	per	season	input	type	(1	=	vector	by	"season,"	2	=	matrix	by	season/year)																										
1																																										
#	Proportion of the total	natural	mortality to be	applied	each	season																																				
0.33 0.33 0.34  #made up; fix soon																																										
2017	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01234568	0	0.01234568	0.07407407	0.01851852	0.03703704	0.03703704	0.04320988	0.04320988	0.0308642	0.0308642	0.0308642	0.05555555	0.09876543	0.09876543	0.1419753	0.1481481	0.04938272	0.0308642	0.006172839	0
2018	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0.004950587	0.005377333	0	0.004950587	0.004950587	0.009901174	0.004950587	0.01993231	0.019880708	0.020061727	0.034506672	0.058780985	0.044100141	0.044815208	0.044384366	0.044712275	0.034612608	0.058934974	0.088940467	0.128888908	0.133052622	0.109746475	0.064888402	0.009600021	0.005080276
#	Growth	data																																								
# Type of growth increment (1=growth increment with a CV;2=size-at-release; size-at) 																																										
0																																										
#	nobs_growth																																									
0																																										
##	Note	SM	used	loewss	regression	for	males	BBRKC	data																																	
##	and	cubic	spine	to	interpolate	3	sets	of	female	BBRKC	data																															
# MidPoint Sex  Increment	CV																																									
#67.5	2	14.766667	1E+21																																							
# MidPoint Sex  MidPoint   Time-at-liberty Size-trans matrix Number of points																																										
# Release       Recapture																																										
##	eof																																									
9999																																										
